gameweek,player_id,player_name,team_id,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,position_id,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,total_bps,total_influence,total_creativity,total_threat,total_xg,total_xa,total_xgi,total_xgc,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
5,110,Christian Nørgaard,4,1100,1100,1110,1055,1090,1150,3,16,2,15,Newcastle,10,41,56.800000000000004,37.5,18.0,0.03,0.15,0.18,2.1799999999999997,6.0,1.67,71,1,0
5,112,Ethan Pinnock,4,1100,1100,1110,1055,1090,1150,2,16,2,15,Newcastle,10,59,71.2,22.5,20.0,0.22,0.24,0.46,2.52,6.0,1.67,90,2,0
5,113,David Raya Martin,1,1350,1365,1370,1370,1330,1360,1,15,2,9,Everton,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.67,90,8,1
5,119,Yoane Wissa,4,1100,1100,1110,1055,1090,1150,4,16,2,15,Newcastle,22,68,84.19999999999999,24.8,128.0,1.94,0.07,2.01,2.1799999999999997,6.0,1.67,90,1,0
5,122,Simon Adingra,5,1100,1210,1070,1180,1135,1240,3,14,2,14,Man Utd,7,25,42.0,13.100000000000001,43.0,0.25,0.03,0.28,1.57,2.88,1.44,84,5,1
5,128,Mahmoud Dahoud,5,1100,1210,1070,1180,1135,1240,3,14,2,14,Man Utd,4,16,13.2,38.6,5.0,0.04,0.13,0.16999999999999998,0.59,2.88,1.44,76,2,0
5,129,Lewis Dunk,5,1100,1210,1070,1180,1135,1240,2,14,2,14,Man Utd,5,41,44.8,21.799999999999997,51.0,0.29000000000000004,0.6599999999999999,0.95,6.84,2.88,1.44,90,2,0
5,134,Pascal Groß,5,1100,1210,1070,1180,1135,1240,3,14,2,14,Man Utd,13,69,108.2,185.9,72.0,0.65,0.94,1.5899999999999999,6.66,2.88,1.44,90,10,1
5,138,Adam Lallana,5,1100,1210,1070,1180,1135,1240,3,14,2,14,Man Utd,2,8,8.2,26.0,8.0,0.0,0.05,0.05,1.3299999999999998,2.88,1.44,63,3,0
5,139,Tariq Lamptey,5,1100,1210,1070,1180,1135,1240,2,14,2,14,Man Utd,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,1.44,76,7,1
5,143,Kaoru Mitoma,5,1100,1210,1070,1180,1135,1240,3,14,2,14,Man Utd,18,76,96.39999999999999,143.3,89.0,0.6200000000000001,1.67,2.29,6.66,2.88,1.44,90,2,0
5,145,Robert Sánchez,7,1125,1190,1080,1150,1170,1230,1,13,2,3,Bournemouth,10,48,49.800000000000004,0.0,0.0,0.0,0.0,0.0,3.5100000000000002,1.8,1.67,90,10,1
5,148,Jason Steele,5,1100,1210,1070,1180,1135,1240,1,14,2,14,Man Utd,5,39,60.599999999999994,0.0,0.0,0.0,0.0,0.0,3.51,2.88,1.44,90,3,0
5,150,Jan Paul van Hecke,5,1100,1210,1070,1180,1135,1240,2,14,2,14,Man Utd,2,19,32.2,0.5,17.0,0.02,0.0,0.02,1.45,2.88,1.44,90,1,0
5,151,Joël Veltman,5,1100,1210,1070,1180,1135,1240,2,14,2,14,Man Utd,6,23,36.0,12.4,17.0,0.07,0.02,0.09,2.7199999999999998,2.88,1.44,90,2,0
5,154,Danny Welbeck,5,1100,1210,1070,1180,1135,1240,4,14,2,14,Man Utd,4,5,12.2,41.8,62.0,0.52,0.33,0.85,3.5,2.88,1.44,63,7,1
5,157,Ameen Al-Dakhil,6,1045,1050,1050,1050,1040,1050,2,18,2,16,Nott'm Forest,2,23,29.2,11.0,4.0,0.0,0.19,0.19,4.72,3.25,1.92,90,2,0
5,160,Jordan Beyer,6,1045,1050,1050,1050,1040,1050,2,18,2,16,Nott'm Forest,1,18,18.8,0.2,0.0,0.0,0.0,0.0,1.01,3.25,1.92,87,3,0
5,161,Josh Brownhill,6,1045,1050,1050,1050,1040,1050,3,18,2,16,Nott'm Forest,1,3,0.0,1.0,0.0,0.0,0.0,0.0,0.12,3.25,1.92,90,2,0
5,165,Josh Cullen,6,1045,1050,1050,1050,1040,1050,3,18,2,16,Nott'm Forest,3,23,16.8,21.7,2.0,0.0,0.33,0.33,4.72,3.25,1.92,90,1,0
5,168,Lyle Foster,6,1045,1050,1050,1050,1040,1050,4,18,2,16,Nott'm Forest,9,28,41.8,14.600000000000001,34.0,0.27,0.04,0.31,4.58,3.25,1.92,90,2,0
5,170,Jóhann Berg Gudmundsson,6,1045,1050,1050,1050,1040,1050,3,18,2,16,Nott'm Forest,4,15,23.4,41.4,2.0,0.0,0.11,0.11,0.78,3.25,1.92,62,2,0
5,176,Connor Roberts,6,1045,1050,1050,1050,1040,1050,2,18,2,16,Nott'm Forest,2,25,27.8,12.3,0.0,0.0,0.13,0.13,4.72,3.25,1.92,90,1,0
5,178,Charlie Taylor,6,1045,1050,1050,1050,1040,1050,2,18,2,16,Nott'm Forest,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,1.92,90,2,0
5,197,Levi Colwill,7,1125,1190,1080,1150,1170,1230,2,13,2,3,Bournemouth,9,55,42.6,41.9,23.0,0.32,0.18,0.5,3.5100000000000002,1.8,1.67,79,6,1
5,199,Enzo Fernández,7,1125,1190,1080,1150,1170,1230,3,13,2,3,Bournemouth,3,28,42.8,146.7,49.0,1.14,0.75,1.89,3.5100000000000002,1.8,1.67,80,3,0
5,202,Conor Gallagher,7,1125,1190,1080,1150,1170,1230,3,13,2,3,Bournemouth,7,46,50.4,33.3,31.0,0.21000000000000002,0.36,0.5700000000000001,2.5900000000000003,1.8,1.67,90,3,0
5,203,Malo Gusto,7,1125,1190,1080,1150,1170,1230,2,13,2,3,Bournemouth,16,71,58.800000000000004,36.7,8.0,0.060000000000000005,0.22,0.28,1.37,1.8,1.67,90,6,1
5,205,Callum Hudson-Odoi,16,1065,1100,1050,1125,1080,1080,3,18,1,6,Burnley,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.92,70,10,1
5,210,Mykhailo Mudryk,7,1125,1190,1080,1150,1170,1230,3,13,2,3,Bournemouth,2,13,11.0,39.599999999999994,20.0,0.08,0.16,0.24000000000000002,1.11,1.8,1.67,62,2,0
5,211,Nicolas Jackson,7,1125,1190,1080,1150,1170,1230,4,13,2,3,Bournemouth,9,34,64.0,44.8,151.0,2.0300000000000002,0.22999999999999998,2.2600000000000002,3.44,1.8,1.67,90,1,0
5,216,Raheem Sterling,7,1125,1190,1080,1150,1170,1230,3,13,2,3,Bournemouth,23,73,100.4,82.8,126.0,0.8500000000000001,0.53,1.38,3.4600000000000004,1.8,1.67,90,2,0
5,217,Thiago Emiliano da Silva,7,1125,1190,1080,1150,1170,1230,2,13,2,3,Bournemouth,9,63,88.8,16.8,15.0,0.04,0.12000000000000001,0.16000000000000003,3.5100000000000002,1.8,1.67,90,6,1
5,220,Joachim Andersen,8,1070,1100,1080,1120,1060,1085,2,14,2,2,Aston Villa,22,83,136.2,84.2,61.0,0.2,0.26,0.46,3.46,4.0,1.89,90,1,0
5,223,Cheick Doucouré,8,1070,1100,1080,1120,1060,1085,3,14,2,2,Aston Villa,6,37,41.6,42.3,15.0,0.12,0.17,0.29,3.46,4.0,1.89,90,2,0
5,225,Odsonne Edouard,8,1070,1100,1080,1120,1060,1085,4,14,2,2,Aston Villa,11,32,57.2,36.599999999999994,155.0,1.6900000000000002,0.21000000000000002,1.9000000000000001,3.0100000000000002,4.0,1.89,89,8,1
5,226,Eberechi Eze,8,1070,1100,1080,1120,1060,1085,3,14,2,2,Aston Villa,7,42,39.6,139.9,79.0,1.1099999999999999,0.8,1.9100000000000001,3.46,4.0,1.89,90,1,0
5,229,Will Hughes,8,1070,1100,1080,1120,1060,1085,3,14,2,2,Aston Villa,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.89,90,1,0
5,230,Sam Johnstone,8,1070,1100,1080,1120,1060,1085,1,14,2,2,Aston Villa,10,38,14.0,0.0,0.0,0.0,0.0,0.0,3.46,4.0,1.89,90,1,0
5,232,Jean-Philippe Mateta,8,1070,1100,1080,1120,1060,1085,4,14,2,2,Aston Villa,1,2,0.0,0.3,0.0,0.0,0.01,0.01,0.45,4.0,1.89,65,5,1
5,234,Tyrick Mitchell,8,1070,1100,1080,1120,1060,1085,2,14,2,2,Aston Villa,12,57,35.0,39.7,12.0,0.03,0.18,0.21,3.46,4.0,1.89,90,1,0
5,238,Chris Richards,8,1070,1100,1080,1120,1060,1085,2,14,2,2,Aston Villa,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.89,90,1,0
5,240,Jeffrey Schlupp,8,1070,1100,1080,1120,1060,1085,3,14,2,2,Aston Villa,7,25,28.4,67.2,24.0,0.09,0.11,0.2,3.0100000000000002,4.0,1.89,90,2,0
5,242,Joel Ward,8,1070,1100,1080,1120,1060,1085,2,14,2,2,Aston Villa,10,40,42.6,7.699999999999999,0.0,0.0,0.04,0.04,3.46,4.0,1.89,90,0,0
5,245,Jarrad Branthwaite,9,1095,1100,1125,1125,1065,1080,2,15,1,1,Arsenal,1,11,15.8,1.8,30.0,0.24,0.15,0.39,1.16,6.0,1.67,90,2,0
5,249,Abdoulaye Doucouré,9,1095,1100,1125,1125,1065,1080,3,15,1,1,Arsenal,6,19,30.0,63.8,78.0,0.86,0.23,1.09,5.77,6.0,1.67,79,2,0
5,254,Idrissa Gueye,9,1095,1100,1125,1125,1065,1080,3,15,1,1,Arsenal,4,35,33.0,21.299999999999997,6.0,0.06,0.07,0.13,4.5,6.0,1.67,90,2,0
5,259,Dwight McNeil,9,1095,1100,1125,1125,1065,1080,3,15,1,1,Arsenal,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.67,87,2,0
5,260,Vitalii Mykolenko,9,1095,1100,1125,1125,1065,1080,2,15,1,1,Arsenal,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.67,90,2,0
5,261,Amadou Onana,9,1095,1100,1125,1125,1065,1080,3,15,1,1,Arsenal,6,48,30.599999999999998,57.400000000000006,21.0,0.1,0.6000000000000001,0.7,5.77,6.0,1.67,90,2,0
5,263,Jordan Pickford,9,1095,1100,1125,1125,1065,1080,1,15,1,1,Arsenal,4,30,37.6,10.0,0.0,0.0,0.02,0.02,5.77,6.0,1.67,90,3,0
5,265,James Tarkowski,9,1095,1100,1125,1125,1065,1080,2,15,1,1,Arsenal,4,34,48.8,5.8,25.0,0.37,0.07,0.44000000000000006,5.77,6.0,1.67,90,2,0
5,267,Andreas Hoelgebaum Pereira,10,1055,1175,1050,1180,1060,1170,3,14,1,12,Luton,14,43,38.2,22.400000000000002,15.0,0.04,0.01,0.05,4.07,1.67,1.89,80,3,0
5,271,Issa Diop,10,1055,1175,1050,1180,1060,1170,2,14,1,12,Luton,10,53,63.8,7.4,6.0,0.12,0.21,0.33,9.78,1.67,1.89,90,5,1
5,275,Bernd Leno,10,1055,1175,1050,1180,1060,1170,1,14,1,12,Luton,19,92,176.8,0.0,0.0,0.0,0.0,0.0,9.78,1.67,1.89,90,6,1
5,280,João Palhinha Gonçalves,10,1055,1175,1050,1180,1060,1170,3,14,1,12,Luton,10,33,58.6,4.5,22.0,0.17,0.02,0.19,5.12,1.67,1.89,90,3,0
5,281,Tim Ream,10,1055,1175,1050,1180,1060,1170,2,14,1,12,Luton,5,29,15.8,2.4,2.0,0.0,0.01,0.01,9.19,1.67,1.89,90,8,1
5,282,Harrison Reed,10,1055,1175,1050,1180,1060,1170,3,14,1,12,Luton,8,35,43.2,60.599999999999994,4.0,0.0,0.19,0.19,5.609999999999999,1.67,1.89,61,3,0
5,285,Kenny Tete,10,1055,1175,1050,1180,1060,1170,2,14,1,12,Luton,6,44,48.2,20.8,0.0,0.0,0.09000000000000001,0.09000000000000001,8.52,1.67,1.89,90,6,1
5,288,Harry Wilson,10,1055,1175,1050,1180,1060,1170,3,14,1,12,Luton,7,26,21.8,55.5,32.0,0.15000000000000002,0.34,0.49,8.85,1.67,1.89,80,3,0
5,291,Alisson Ramses Becker,11,1240,1370,1210,1350,1270,1390,1,11,2,20,Wolves,10,56,104.80000000000001,0.1,0.0,0.0,0.0,0.0,4.57,1.45,1.44,90,2,0
5,298,Joe Gomez,11,1240,1370,1210,1350,1270,1390,2,11,2,20,Wolves,2,8,16.6,0.9,4.0,0.01,0.0,0.01,2.18,1.45,1.44,90,2,0
5,300,Curtis Jones,11,1240,1370,1210,1350,1270,1390,3,11,2,20,Wolves,1,1,4.6,1.8,0.0,0.0,0.01,0.01,0.24,1.45,1.44,90,1,0
5,305,Joel Matip,11,1240,1370,1210,1350,1270,1390,2,11,2,20,Wolves,2,10,5.0,0.9,4.0,0.1,0.01,0.11,1.6,1.45,1.44,90,2,0
5,307,Andrew Robertson,11,1240,1370,1210,1350,1270,1390,2,11,2,20,Wolves,6,48,58.800000000000004,82.0,2.0,0.0,0.28,0.28,4.57,1.45,1.44,90,11,1
5,308,Mohamed Salah,11,1240,1370,1210,1350,1270,1390,3,11,2,20,Wolves,15,49,86.6,78.1,107.0,1.69,0.54,2.23,4.28,1.45,1.44,90,10,1
5,309,Dominik Szoboszlai,11,1240,1370,1210,1350,1270,1390,3,11,2,20,Wolves,9,53,33.4,68.7,37.0,0.21,0.17,0.38,4.57,1.45,1.44,90,2,0
5,315,Mads Juel Andersen,12,1055,1090,1020,1060,1090,1120,2,14,2,10,Fulham,1,11,14.6,0.7999999999999999,0.0,0.0,0.0,0.0,2.42,5.5,1.89,90,2,0
5,316,Amari'i Bell,12,1055,1090,1020,1060,1090,1120,2,14,2,10,Fulham,1,24,51.599999999999994,1.6,0.0,0.0,0.01,0.01,6.1899999999999995,5.5,1.89,90,2,0
5,318,Reece Burke,12,1055,1090,1020,1060,1090,1120,2,14,2,10,Fulham,1,9,16.4,10.7,2.0,0.0,0.01,0.01,2.02,5.5,1.89,81,2,0
5,326,Carlton Morris,12,1055,1090,1020,1060,1090,1120,4,14,2,10,Fulham,10,34,41.0,16.4,62.0,1.21,0.24,1.45,6.1899999999999995,5.5,1.89,73,2,0
5,341,Manuel Akanji,13,1355,1365,1350,1360,1360,1370,2,14,2,19,West Ham,13,51,38.4,17.3,1.0,0.03,0.03,0.060000000000000005,0.59,1.45,1.62,90,2,0
5,343,Julián Álvarez,13,1355,1365,1350,1360,1360,1370,4,14,2,19,West Ham,14,65,82.4,167.2,113.0,1.29,0.5700000000000001,1.8599999999999999,1.3199999999999998,1.45,1.62,90,9,1
5,344,Bernardo Veiga de Carvalho e Silva,13,1355,1365,1350,1360,1360,1370,3,14,2,19,West Ham,5,28,22.2,67.89999999999999,10.0,0.0,0.79,0.79,1.03,1.45,1.62,90,13,1
5,350,Rúben Gato Alves Dias,13,1355,1365,1350,1360,1360,1370,2,14,2,19,West Ham,9,42,31.0,12.200000000000001,6.0,0.03,0.11,0.14,1.02,1.45,1.62,90,2,0
5,352,Ederson Santana de Moraes,13,1355,1365,1350,1360,1360,1370,1,14,2,19,West Ham,14,59,35.6,10.0,0.0,0.0,0.02,0.02,1.3199999999999998,1.45,1.62,90,2,0
5,353,Phil Foden,13,1355,1365,1350,1360,1360,1370,3,14,2,19,West Ham,16,57,69.0,146.29999999999998,70.0,0.6200000000000001,0.8200000000000001,1.44,1.0,1.45,1.62,66,2,0
5,355,Erling Haaland,13,1355,1365,1350,1360,1360,1370,4,14,2,19,West Ham,19,71,105.0,48.4,193.0,2.96,0.08,3.04,1.25,1.45,1.62,90,6,1
5,360,James McAtee,17,1030,1040,1045,1020,1020,1060,3,14,2,18,Spurs,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.5,69,3,0
5,365,Rodrigo Hernandez,13,1355,1365,1350,1360,1360,1370,3,14,2,19,West Ham,26,100,142.39999999999998,46.5,103.0,0.77,0.33,1.1,1.3199999999999998,1.45,1.62,90,1,0
5,369,Kyle Walker,13,1355,1365,1350,1360,1360,1370,2,14,2,19,West Ham,14,71,28.0,77.1,17.0,0.04,0.52,0.5599999999999999,1.3199999999999998,1.45,1.62,90,2,0
5,373,Bruno Borges Fernandes,14,1125,1220,1130,1210,1120,1230,3,14,1,5,Brighton,16,61,108.39999999999999,145.8,81.0,2.0,1.69,3.69,5.3100000000000005,2.15,1.44,90,1,0
5,376,Carlos Henrique Casimiro,14,1125,1220,1130,1210,1120,1230,3,14,1,5,Brighton,12,47,112.6,38.1,88.0,1.4900000000000002,0.16,1.65,5.3100000000000005,2.15,1.44,63,2,0
5,377,Diogo Dalot Teixeira,14,1125,1220,1130,1210,1120,1230,2,14,1,5,Brighton,2,19,21.799999999999997,9.2,2.0,0.0,0.060000000000000005,0.060000000000000005,1.79,2.15,1.44,90,1,0
5,378,Anthony Elanga,16,1065,1100,1050,1125,1080,1080,3,18,1,6,Burnley,6,23,20.799999999999997,21.8,12.0,0.05,0.61,0.66,0.79,2.2,1.92,90,2,0
5,379,Christian Eriksen,14,1125,1220,1130,1210,1120,1230,3,14,1,5,Brighton,11,43,54.599999999999994,30.299999999999997,35.0,0.28,0.16,0.44,2.87,2.15,1.44,90,2,0
5,386,Victor Lindelöf,14,1125,1220,1130,1210,1120,1230,2,14,1,5,Brighton,2,11,18.0,20.8,4.0,0.0,0.02,0.02,2.29,2.15,1.44,90,1,0
5,391,Lisandro Martínez,14,1125,1220,1130,1210,1120,1230,2,14,1,5,Brighton,0,37,35.8,31.6,2.0,0.0,0.07,0.07,3.2800000000000002,2.15,1.44,84,4,0
5,392,Scott McTominay,14,1125,1220,1130,1210,1120,1230,3,14,1,5,Brighton,2,7,10.8,10.399999999999999,0.0,0.0,0.0,0.0,0.48000000000000004,2.15,1.44,84,2,0
5,396,Marcus Rashford,14,1125,1220,1130,1210,1120,1230,3,14,1,5,Brighton,12,22,37.0,53.599999999999994,103.0,0.7799999999999999,0.6499999999999999,1.43,4.79,2.15,1.44,90,2,0
5,403,Elliot Anderson,15,1105,1280,1050,1210,1160,1355,3,16,1,4,Brentford,3,14,17.0,16.0,6.0,0.0,0.02,0.02,1.0,1.53,1.67,90,3,0
5,405,Sven Botman,15,1105,1280,1050,1210,1160,1355,2,16,1,4,Brentford,9,57,58.4,13.6,16.0,0.16,0.26,0.42000000000000004,3.5,1.53,1.67,90,9,1
5,406,Bruno Guimarães Rodriguez Moura,15,1105,1280,1050,1210,1160,1355,3,16,1,4,Brentford,4,20,26.8,31.4,18.0,0.18,0.11,0.29,3.62,1.53,1.67,90,2,0
5,407,Dan Burn,15,1105,1280,1050,1210,1160,1355,2,16,1,4,Brentford,5,36,58.599999999999994,15.299999999999999,11.0,0.16,0.03,0.19000000000000003,3.9400000000000004,1.53,1.67,90,6,1
5,412,Anthony Gordon,15,1105,1280,1050,1210,1160,1355,3,16,1,4,Brentford,14,43,68.6,61.599999999999994,58.0,0.75,0.58,1.32,2.42,1.53,1.67,90,5,1
5,421,Sean Longstaff,15,1105,1280,1050,1210,1160,1355,3,16,1,4,Brentford,3,10,17.4,14.700000000000001,26.0,0.16,0.01,0.17,1.4400000000000002,1.53,1.67,90,3,0
5,424,Nick Pope,15,1105,1280,1050,1210,1160,1355,1,16,1,4,Brentford,7,46,80.39999999999999,0.0,4.0,0.02,0.0,0.02,3.9400000000000004,1.53,1.67,90,6,1
5,427,Fabian Schär,15,1105,1280,1050,1210,1160,1355,2,16,1,4,Brentford,5,36,48.99999999999999,5.800000000000001,6.0,0.1,0.02,0.12,3.9400000000000004,1.53,1.67,90,7,1
5,430,Kieran Trippier,15,1105,1280,1050,1210,1160,1355,2,16,1,4,Brentford,4,56,66.8,136.7,8.0,0.0,0.51,0.51,3.9400000000000004,1.53,1.67,90,8,1
5,433,Callum Wilson,15,1105,1280,1050,1210,1160,1355,4,16,1,4,Brentford,7,24,45.0,11.600000000000001,72.0,1.01,0.0,1.01,1.2400000000000002,1.53,1.67,90,5,1
5,437,Taiwo Awoniyi,16,1065,1100,1050,1125,1080,1080,4,18,1,6,Burnley,20,84,104.60000000000001,24.500000000000004,85.0,1.5499999999999998,0.04,1.5899999999999999,3.76,2.2,1.92,87,5,1
5,447,Morgan Gibbs-White,16,1065,1100,1050,1125,1080,1080,3,18,1,6,Burnley,12,51,55.2,124.5,31.0,0.4,0.84,1.24,4.25,2.2,1.92,90,2,0
